node_index,address,recon_error,zscore,anomaly_z2,anomaly_z3
3,0x32f042b0b01f10247493a950456f4c4304d46ba5,25454.162,-0.8422024,False,False
4,0xc32b1345acae345c595d3bbcf62e14e5f3020456,25454.16,-0.8422024,False,False
5,0xd5007b98da278ef9994160e570f94778880126e1,32936.56,-0.65956116,False,False
9,0xa30038660ef89705beea3b5af3375572c7b5ec29,34251.836,-0.62745595,False,False
16,0x1ccd3ed85af387949a8604d9cc126643ce69990d,70377.91,0.25436166,False,False
34,0x083b90cf7a89b7ff9da8e26b437126d0a94c38db,34203.58,-0.6286339,False,False
54,0x5979a1e6928b75f92950538cf91de851808a21cc,34114.418,-0.63081026,False,False
55,0xedc41dc148c2f55682e154a560a12d0e4e150b17,34114.418,-0.63081026,False,False
64,0xb87b9093b4ec7959e1e0a123fc9f501bb83d15f9,34114.418,-0.63081026,False,False
66,0x35ec9e40bc4157f56f1536e0c2705db6893cbf1a,34114.418,-0.63081026,False,False
77,0x0da7e694c918cd4c5680a1880d5b61d78f01d681,34114.418,-0.63081026,False,False
94,0x3b2aded5b2ac892518b0e675f57ad29d4f76ff06,34114.418,-0.63081026,False,False
98,0x576f6b4ef09bc36b7fb33246c52070206606e647,34114.418,-0.63081026,False,False
114,0x40975d9a36c1ea01380651117f9c97bb342b522b,34114.418,-0.63081026,False,False
116,0x8b6af9b28e81b66f8ff2ff15280d757c3eb4c309,34114.418,-0.63081026,False,False
117,0xd400c0c35abfb16ae5fd87a52804b432afb530d5,34114.418,-0.63081026,False,False
119,0x0f346825bcb6e248847566d71b3f1b83118bb806,34114.418,-0.63081026,False,False
125,0xd59fc719c4d1c5e54ebaaf7ff7403d08f1229b3f,34114.418,-0.63081026,False,False
126,0xcd22f1d27668abf267b54c9d660e2b101c1a3aef,34114.418,-0.63081026,False,False
127,0x8457c0195f8cfb67a1313bd097622d42503f7137,34114.418,-0.63081026,False,False
130,0x8dd094f63f58863f078e48b6467a05844be093c1,34114.418,-0.63081026,False,False
133,0x708ca3a5ee83a59b0e0b96f09603bb2c8c01f2ad,34114.418,-0.63081026,False,False
137,0x51b547b805a7f2cbcbadfc465604c8b1df91e364,34114.418,-0.63081026,False,False
143,0x13c3601f8e9af68c96699424b2671ec5924b3678,34114.418,-0.63081026,False,False
146,0xd1fa8e9306b6332a7efa2516041d775c87cd3d55,34114.418,-0.63081026,False,False
154,0xbe372b4a029487b889b0d61376630cc3c55f088d,34114.418,-0.63081026,False,False
160,0xabee237e940e3b86f7703522045c0bf593deca33,34114.418,-0.63081026,False,False
161,0x732e6de0b3ed30c090653cb782f8c89a9aea0694,34114.418,-0.63081026,False,False
164,0x569dd85346cd1bb98ed90155ae85eaf19aa406ea,34114.418,-0.63081026,False,False
189,0x5aa540f0c3ef29d0482d53c14b53531317caa08c,34114.418,-0.63081026,False,False
190,0x2e96376e0ce52806bf2dd524e7f9ffb3c68640b7,34114.418,-0.63081026,False,False
197,0xce8a7818c5ff2a8595f98fe117f59c497b979b64,34114.418,-0.63081026,False,False
200,0x100a7ef237ea7e03b29e70f0d996dd646845e756,34114.418,-0.63081026,False,False
201,0x783b241911984269272911f316c01228e98954c3,34114.418,-0.63081026,False,False
202,0x77a2ad62c3a82e009777ef626940de2151119c2f,34114.418,-0.63081026,False,False
206,0x2eee13da72d34fdf5c066e0fe1efe7eee218a2c1,34114.418,-0.63081026,False,False
223,0xabb846d76bd4dfa2cdfbc7bbace1c652ad1ac0bf,34114.418,-0.63081026,False,False
224,0xf815486e322f8bc53a2387e8cc36f7d2cf027290,34114.418,-0.63081026,False,False
225,0x75d426766ac8c87682ae59b18c28560811e8391a,34114.418,-0.63081026,False,False
232,0x032548ea8d14ae54812a7150a4967b5d35a38ca9,34114.418,-0.63081026,False,False
235,0x065b9e38b12a077b5d56f9796701f408dc57f314,34114.418,-0.63081026,False,False
241,0xf12c0410fc1eba1d0428748571f7de4363bbf131,34114.418,-0.63081026,False,False
242,0x5a580ffcbe1ce95b8c497617e3bbd51e7abecd9b,34114.418,-0.63081026,False,False
249,0xf0bb73bd6649850be38504373f5a4cdf58ab77fd,34114.418,-0.63081026,False,False
253,0x3ff3de8d6eae9fad34a9a6d3fd5c31eb289a7731,34114.418,-0.63081026,False,False
255,0x47d169134569b0528c7f1f41ff9aff62eed157b2,34114.418,-0.63081026,False,False
260,0x2886460fc1c7c025a43ea26512ddd4eb28a457e7,34114.418,-0.63081026,False,False
262,0x217564abc06ea49e3211faf0137483341df8888c,34114.418,-0.63081026,False,False
280,0x9a858b0640c099fec3ea28fcb92f9adcd4263dff,34114.418,-0.63081026,False,False
285,0x60fea2187f2575ebfe0ed17d1e695d7c1dad6e21,34114.418,-0.63081026,False,False
301,0x14a0c187f03978ac6bc60f0c308a966b44408c19,34114.418,-0.63081026,False,False
302,0x398765f5a25d596dbf16ea73d2ff44ba5b8c226a,34114.418,-0.63081026,False,False
320,0x7886f8b70fed3025b06374a35154c31c62c3ca78,34114.418,-0.63081026,False,False
327,0x94aa924c3c5101a71ced6db55282e0b6a9470da0,34114.418,-0.63081026,False,False
335,0x85af013dae06ff55d7bdfd1eae04f14aaf25d283,34114.418,-0.63081026,False,False
337,0xe98bacd8644d211db88fa400b22e8fa19f3cf175,34114.418,-0.63081026,False,False
341,0xa43893e256dca05d19b2a3ca5d04c443a9575201,34114.418,-0.63081026,False,False
345,0x97ac551d786ca768d15d5175f88f34bfe5127381,34114.418,-0.63081026,False,False
357,0xc8369c1068d7e84da5fae9724caa59a891b97e0e,34114.418,-0.63081026,False,False
362,0x5012431745e6f317eaabc527da2574595d966643,34114.418,-0.63081026,False,False
364,0xdf02f1da72d541a7631f5fde95edd26721182eea,34114.418,-0.63081026,False,False
375,0xc166f513d708d475a2bbc58e8b79b247831bd6e4,34114.418,-0.63081026,False,False
379,0x0bd9d5abce1f631b351db28e59f8f0ab2d72cb6e,34114.418,-0.63081026,False,False
384,0xf0d62715f0d04266334071188ed00aa685bfb5a2,34114.418,-0.63081026,False,False
385,0xc2f0cc77ddbd4354fe15e18ccdf440047a643f6e,34114.418,-0.63081026,False,False
388,0x9697371dffc6120ce8a3522c5b354b2ab3ea7fdd,34114.418,-0.63081026,False,False
391,0xf0b4faafc6220ca758ef2c1f53b0df71254bb2b4,34114.418,-0.63081026,False,False
395,0x357b3c2b7c301ac1b9c52eee48d5883205417971,34114.418,-0.63081026,False,False
404,0xf3abec0211f97a93e5e33e12824d998b4ed3a33e,34114.418,-0.63081026,False,False
412,0x0e48639195890dca7ae3e39173fd57c5be91ef57,34114.418,-0.63081026,False,False
417,0x85d8b490aecf69f45829b9f83b8a85f52d1f2e0a,34114.418,-0.63081026,False,False
419,0x638fb18d988ff85d1e46169661fef1c03e2e48ba,34114.418,-0.63081026,False,False
455,0xb1430970fc65df7224388033417397b4ee8ee700,34114.418,-0.63081026,False,False
466,0x11784aa63c416c8a906490daf622cda49437975c,34114.418,-0.63081026,False,False
467,0xd20dc09df761b216783638bdc82d8834c243daf2,34114.418,-0.63081026,False,False
470,0x95b9810fd4000efc4b2ff8e05f6000af8d2186d1,34114.418,-0.63081026,False,False
474,0xd9ca831da75c5ad37c082a27f4b1de7a89b31d8c,34114.418,-0.63081026,False,False
477,0x9074fac43869dfd1980b049ec946237a95aa43ad,34114.418,-0.63081026,False,False
488,0x14cf851758821697a6e44a17e3811beb3ff23011,34114.418,-0.63081026,False,False
492,0xf4cae41acc880315eb844b2055b430b69b9ccc98,34114.418,-0.63081026,False,False
499,0xf935e185453570725ffa6eb4f642e8bfc57a2435,34114.418,-0.63081026,False,False
502,0xa48cce8f155424d9438e862b5232e2a7adfc0e36,34114.418,-0.63081026,False,False
504,0xe7b7677ad194b88f9ccb1ad27a7c6e082e0059b4,34114.418,-0.63081026,False,False
510,0xb92d8994df86558bea22716dbed5d8d7ae846ea2,34073.914,-0.6317989,False,False
512,0x2e8d69bc79503a4cc0e59409a4a704e7d43aca81,34114.418,-0.63081026,False,False
513,0x59a6e0b7f29da3d2dcedc170b8d3b26c7c1838ba,34114.418,-0.63081026,False,False
523,0xd69bd92a59afa514f14b8487686dc344b2f8e528,34114.418,-0.63081026,False,False
524,0x2379ee1fb52b3aefc345877d9c4edd9226f2966f,34114.418,-0.63081026,False,False
525,0x7490cc8d350b92f30cd38bb0d91402b5fa161c41,34114.418,-0.63081026,False,False
536,0x29db4cb6edbbf5bfb5c4e04476ff51432ae6b5ca,34033.9,-0.6327757,False,False
537,0x2d7b1f123f4749ed5aead53624ad9305260b249b,34077.082,-0.6317216,False,False
539,0x2e773b039ee66b39512a20444cf6c8f1f3b5dbfa,34077.082,-0.6317216,False,False
559,0x66db5547c8b17d0158dde75113dd10da017a3049,34077.082,-0.6317216,False,False
562,0x78a0b106414324d3f30ed8c972c00879117fc42d,34077.082,-0.6317216,False,False
