address,unique_sender_nodes_count,unique_receiver_nodes_count,unique_sender_total_amount,unique_receiver_total_amount,cycle_tx_count,bidirectional_counterparties,closeness_centrality,betweenness_centrality,pagerank,degree_centrality,in_neighbor_count,out_neighbor_count,total_in_tx_count,total_out_tx_count,total_in_amount,total_out_amount,avg_in_amount,avg_out_amount,total_in_gas_used,total_out_gas_used,avg_in_gas_used,avg_out_gas_used,active_days,tx_per_day,amount_per_day,recv_gas_efficiency,send_gas_efficiency,first_tx_time,last_tx_time
0x0000000000000000000000000000000000000000,0,0,0.0,0.0,0,0,0.29516268102569737,0.0,3.605583115876568e-05,0.00012567550584391103,0,1,0,1,0.0,1000000000.0,0.0,1000000000.0,0,1603895,0.0,1603895.0,1,1.0,1000000000.0,0.0,623.482210493829,1603098539,1603098539
0x00000000003b3cc22af3ae1eac0440bcee416b40,0,0,0.0,0.0,8,1,0.23255398895028406,0.0,8.836634576362394e-05,0.0010054040467512883,1,1,4,4,242445.0,242444.0,60611.25,60611.0,380271,352522,95067.75,88130.5,4,2.0,121222.25,0.6375584780327713,0.6877414742909662,1623288937,1631842957
0x00000000a991c429ee2ec6df19d40fe0c80088b8,0,0,0.0,0.0,2,1,0.23255398895028406,0.0,4.902660348232632e-05,0.00025135101168782207,1,1,1,1,60116.0,60115.0,60116.0,60115.0,105094,78073,105094.0,78073.0,1,2.0,120231.0,0.5720212381296744,0.7699845016843211,1670543279,1670543279
0x00000000b7ca7e12dcc72290d1fe47b2ef14c607,0,0,0.0,0.0,6,1,0.23255398895028406,0.0,4.862183322351004e-05,0.0007540530350634662,1,1,3,3,58240.0,58237.0,19413.333333333332,19412.333333333332,191613,203915,63871.0,67971.66666666667,2,3.0,58238.5,0.30394597443806004,0.2855944878993698,1623401636,1623742169
0x00000000c9fdd743c60055c0e4ea30d266272c1f,0,0,0.0,0.0,2,1,0.23255398895028406,0.0,6.675083719820122e-05,0.00025135101168782207,1,1,1,1,142263.0,142262.0,142263.0,142262.0,119845,100565,119845.0,100565.0,1,2.0,284525.0,1.1870582836163377,1.414627355441754,1617235805,1617235817
0x000d2a36197b6c871c70240cc51b1100ec09b5c0,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.662446322388673e-05,0.00025135101168782207,1,1,1,1,4923.0,4923.0,4923.0,4923.0,54162,32286,54162.0,32286.0,2,1.0,4923.0,0.09089398471252907,0.15248095149600446,1631800905,1634704401
0x0011e7a4ada2cb89c1bf8cae4732d60fe6f229bd,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.777743606037634e-05,0.00025135101168782207,1,1,1,1,14905.0,14905.0,14905.0,14905.0,54174,32286,54174.0,32286.0,2,1.0,14905.0,0.27513198213164985,0.4616552065910921,1624158807,1634698827
0x0018822c20a626667ab524ac56c1e06a11bc01e8,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.655743739868412e-05,0.00025135101168782207,1,1,1,1,4480.0,4480.0,4480.0,4480.0,54174,32286,54174.0,32286.0,2,1.0,4480.0,0.08269649647432348,0.13875983398377006,1625101317,1634704401
0x0019c97d45f5f6348b881e1aec82d8ed041b6f55,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.803466612517922e-05,0.00025135101168782207,1,1,1,1,17132.0,17132.0,17132.0,17132.0,54174,32286,54174.0,32286.0,2,1.0,17132.0,0.3162402628567209,0.5306324722790063,1623418687,1634704401
0x002acfc3672d74e197bda678c912a7c827624025,0,1,0.0,125.0,0,0,0.287230958972928,0.00025094030742035806,3.6065922728566665e-05,0.00025135101168782207,1,1,1,1,80.0,125.0,80.0,125.0,53062,49374,53062.0,49374.0,2,1.0,102.5,0.0015076702725114017,0.002531696844493053,1603850280,1646474283
